INCORRECT ANNOTATION	1085testa	Latvia	Latvia	Latvia national football team
Korea[0.049]; Korean[0.047]; Korean[0.047]; Korean[0.047]; Seoul[0.045]; southern[0.043]; northern[0.042]; North[0.042]; Kim[0.041]; Kim[0.041]; repatriated[0.041]; domestic[0.040]; communist[0.040]; Yonhap[0.040]; families[0.040]; repatriation[0.040]; South[0.040]; South[0.040]; South[0.040]; South[0.040]; officials[0.039]; unification[0.039]; demand[0.039]; reunions[0.039]; 

INCORRECT ANNOTATION	1017testa	Israelis	Israel	Israelis
global=0.349	0.336
local(<e, ctx>)=0.329	0.011
log p(e|m)=-0.546	-0.009
Israel[0.049]; Jewish[0.047]; Israeli[0.047]; Arab[0.044]; Jerusalem[0.044]; Jerusalem[0.044]; Palestinian[0.044]; Netanyahu[0.043]; policy[0.042]; said[0.041]; said[0.041]; West[0.041]; Palestinians[0.041]; settlements[0.041]; President[0.040]; government[0.040]; government[0.040]; region[0.040]; officials[0.039]; Bank[0.039]; war[0.039]; settlement[0.038]; community[0.038]; occupied[0.038]; 

INCORRECT ANNOTATION	961testa	India	India national football team	India national cricket team
global=0.317	0.316
local(<e, ctx>)=0.184	0.092
log p(e|m)=-4.269	-3.507
match[0.044]; ranked[0.043]; came[0.043]; win[0.043]; semifinals[0.043]; day[0.043]; champion[0.043]; lost[0.042]; lost[0.042]; went[0.042]; Paes[0.042]; player[0.042]; seeded[0.042]; winning[0.042]; games[0.041]; Agassi[0.041]; winner[0.041]; defeated[0.040]; sixth[0.040]; comeback[0.040]; comeback[0.040]; Stadium[0.040]; left[0.040]; title[0.040]; 

INCORRECT ANNOTATION	1053testa	Faroe Islands	Faroe Islands national football team	Faroe Islands
global=0.339	0.338
local(<e, ctx>)=-0.041	0.183
log p(e|m)=-0.872	-0.596
Slovakia[0.044]; Slovakia[0.044]; Slovakia[0.044]; match[0.044]; European[0.043]; Faroes[0.043]; Toftir[0.042]; soccer[0.042]; Faroe[0.042]; Faroe[0.042]; qualifying[0.042]; Cup[0.042]; Cup[0.042]; beat[0.042]; Saturday[0.041]; Islands[0.041]; Islands[0.041]; group[0.041]; minute[0.041]; Scorers[0.040]; Soccer[0.039]; Qualifier[0.039]; World[0.038]; World[0.038]; 

INCORRECT ANNOTATION	967testa	Eric Thomas	Eric Thomas (American football)	Eric Thomas (gynaecologist)
global=0.336	0.334
local(<e, ctx>)=-0.296	-0.389
log p(e|m)=-0.526	-0.232
Derrick[0.047]; Michael[0.045]; Anja[0.043]; Britain[0.043]; Jon[0.043]; Jearl[0.042]; Smith[0.042]; Nylander[0.042]; Gunhild[0.041]; Sweden[0.041]; Donovan[0.041]; hurdles[0.041]; Miles[0.041]; Norway[0.041]; Women[0.041]; Samuel[0.041]; Karin[0.041]; Matete[0.041]; Sven[0.041]; Phylis[0.041]; Dusan[0.041]; Barsosio[0.041]; Dennis[0.041]; Halle[0.040]; 

INCORRECT ANNOTATION	966testa	Olympics	Olympic Games	1976 Summer Olympics
global=0.317	0.317
local(<e, ctx>)=0.016	0.294
log p(e|m)=-0.821	-4.269
Olympic[0.048]; Olympic[0.048]; Olympic[0.048]; sport[0.044]; Games[0.044]; American[0.042]; medals[0.042]; champions[0.041]; champions[0.041]; win[0.041]; world[0.041]; champion[0.041]; champion[0.041]; relay[0.041]; Jamaican[0.041]; Berlin[0.040]; Berlin[0.040]; fourth[0.040]; women[0.040]; second[0.039]; Devers[0.039]; finished[0.039]; finishing[0.039]; Ottey[0.038]; 

INCORRECT ANNOTATION	949testa	Scotland	Scotland national cricket team	Scotland
global=0.338	0.318
local(<e, ctx>)=0.268	-0.278
log p(e|m)=-3.689	-0.229
British[0.044]; international[0.044]; match[0.044]; Hampshire[0.044]; day[0.043]; Middlesex[0.043]; Sussex[0.043]; Nottingham[0.042]; Gloucestershire[0.042]; Manchester[0.042]; Headingley[0.042]; Surrey[0.042]; Leicestershire[0.042]; Glamorgan[0.042]; Oval[0.041]; Kent[0.041]; Edgbaston[0.041]; Derbyshire[0.040]; Somerset[0.040]; London[0.040]; London[0.040]; Lord[0.040]; Lord[0.040]; county[0.039]; 

INCORRECT ANNOTATION	949testa	Scotland	Scotland national cricket team	Scotland
global=0.332	0.319
local(<e, ctx>)=0.177	-0.197
log p(e|m)=-3.689	-0.229
England[0.047]; matches[0.043]; matches[0.043]; matches[0.043]; British[0.042]; international[0.042]; international[0.042]; international[0.042]; internationals[0.042]; match[0.042]; day[0.041]; day[0.041]; day[0.041]; day[0.041]; day[0.041]; day[0.041]; play[0.041]; play[0.041]; Australia[0.041]; Australia[0.041]; Sussex[0.041]; Cricket[0.040]; Cricket[0.040]; Gloucestershire[0.040]; 

INCORRECT ANNOTATION	949testa	Headingley	Headingley Stadium	Headingley
global=0.354	0.335
local(<e, ctx>)=0.345	0.113
log p(e|m)=-0.302	-0.571
match[0.046]; Hampshire[0.045]; Middlesex[0.045]; Glamorgan[0.044]; Oval[0.044]; Edgbaston[0.043]; Leicestershire[0.043]; Somerset[0.043]; Derbyshire[0.043]; Kent[0.043]; Nottingham[0.043]; Lord[0.042]; Oxford[0.040]; Trent[0.040]; test[0.040]; test[0.040]; test[0.040]; test[0.040]; test[0.040]; test[0.040]; Scotland[0.040]; Trafford[0.039]; Bridge[0.039]; Manchester[0.039]; 

INCORRECT ANNOTATION	949testa	Edgbaston	Edgbaston Cricket Ground	Edgbaston
global=0.361	0.331
local(<e, ctx>)=0.424	0.039
log p(e|m)=-0.451	-0.309
match[0.048]; Hampshire[0.048]; matches[0.048]; day[0.047]; day[0.047]; day[0.047]; day[0.047]; Leicestershire[0.046]; Glamorgan[0.046]; Oxford[0.045]; Headingley[0.045]; Headingley[0.045]; Surrey[0.045]; Gloucestershire[0.045]; Worcestershire[0.044]; Somerset[0.044]; Derbyshire[0.044]; Oval[0.044]; Durham[0.044]; Birmingham[0.044]; Middlesex[0.044]; Sussex[0.044]; 

INCORRECT ANNOTATION	949testa	Headingley	Headingley Stadium	Headingley
global=0.356	0.333
local(<e, ctx>)=0.432	0.117
log p(e|m)=-0.302	-0.571
match[0.044]; Hampshire[0.043]; internationals[0.043]; Oval[0.042]; matches[0.042]; matches[0.042]; matches[0.042]; Edgbaston[0.042]; Leicestershire[0.042]; international[0.042]; international[0.042]; international[0.042]; Gloucestershire[0.042]; Derbyshire[0.041]; Cricket[0.041]; Northampton[0.041]; day[0.041]; day[0.041]; day[0.041]; day[0.041]; day[0.041]; day[0.041]; Sussex[0.041]; Worcestershire[0.041]; 

INCORRECT ANNOTATION	949testa	Oxford	University of Oxford	Oxford
global=0.341	0.341
local(<e, ctx>)=0.255	0.168
log p(e|m)=-1.478	-0.681
Birmingham[0.043]; Manchester[0.043]; Universities[0.043]; Durham[0.043]; London[0.043]; London[0.043]; London[0.043]; Bridge[0.042]; Hampshire[0.042]; match[0.042]; Leeds[0.042]; Scotland[0.042]; Nottingham[0.042]; Surrey[0.041]; British[0.041]; Northampton[0.041]; Lord[0.041]; Lord[0.041]; Somerset[0.041]; Kent[0.041]; Sussex[0.040]; Middlesex[0.040]; Gloucestershire[0.040]; Trent[0.040]; 

INCORRECT ANNOTATION	1095testa	Toronto	Toronto Blue Jays	Toronto
global=0.330	0.321
local(<e, ctx>)=0.206	0.009
log p(e|m)=-4.423	-0.123
Toronto[0.048]; Montreal[0.046]; Philadelphia[0.042]; Boston[0.042]; Boston[0.042]; Houston[0.042]; Oakland[0.042]; Oakland[0.042]; Cincinnati[0.042]; City[0.042]; City[0.042]; Baltimore[0.041]; Baltimore[0.041]; Cleveland[0.041]; Cleveland[0.041]; Chicago[0.041]; Chicago[0.041]; Chicago[0.041]; Milwaukee[0.041]; Milwaukee[0.041]; League[0.040]; Texas[0.040]; Texas[0.040]; Atlanta[0.040]; 

INCORRECT ANNOTATION	1095testa	New York	New York City	New York Yankees
global=0.326	0.322
local(<e, ctx>)=0.062	0.070
log p(e|m)=-1.790	-5.116
City[0.044]; City[0.044]; Boston[0.043]; games[0.043]; games[0.043]; Cleveland[0.042]; Baltimore[0.042]; Baltimore[0.042]; Baseball[0.042]; Baseball[0.042]; Oakland[0.042]; played[0.041]; Toronto[0.041]; Toronto[0.041]; Central[0.041]; League[0.041]; League[0.041]; League[0.041]; American[0.041]; won[0.041]; Chicago[0.041]; Chicago[0.041]; Friday[0.040]; Friday[0.040]; 

INCORRECT ANNOTATION	1095testa	Western Division	American League West	National League West
global=0.335	0.335
local(<e, ctx>)=0.116	0.053
log p(e|m)=-0.860	-1.295
games[0.043]; games[0.043]; League[0.043]; League[0.043]; League[0.043]; League[0.043]; won[0.043]; Division[0.042]; Division[0.042]; Division[0.042]; Division[0.042]; Boston[0.042]; Boston[0.042]; Texas[0.041]; Texas[0.041]; winning[0.041]; Oakland[0.041]; Oakland[0.041]; standings[0.041]; Toronto[0.041]; Toronto[0.041]; Baltimore[0.040]; Baltimore[0.040]; Houston[0.040]; 

INCORRECT ANNOTATION	1095testa	New York	New York Mets	New York Yankees
global=0.324	0.323
local(<e, ctx>)=0.077	0.057
log p(e|m)=-5.116	-5.116
Philadelphia[0.047]; Philadelphia[0.047]; Houston[0.046]; Houston[0.046]; Central[0.045]; Pittsburgh[0.044]; Pittsburgh[0.044]; Chicago[0.044]; Chicago[0.044]; Cincinnati[0.044]; Cincinnati[0.044]; Saturday[0.043]; Montreal[0.043]; Montreal[0.043]; Atlanta[0.043]; Florida[0.042]; Florida[0.042]; York[0.042]; Colorado[0.042]; Colorado[0.042]; Francisco[0.041]; Francisco[0.041]; Western[0.041]; 

INCORRECT ANNOTATION	1095testa	Seattle	Milwaukee Brewers	Seattle Mariners
global=0.328	0.324
local(<e, ctx>)=0.354	0.266
log p(e|m)=-4.075	-3.863
Seattle[0.050]; Houston[0.045]; Oakland[0.045]; Oakland[0.045]; Baltimore[0.044]; Baltimore[0.044]; Boston[0.043]; Boston[0.043]; Cleveland[0.043]; Cleveland[0.043]; Milwaukee[0.043]; Milwaukee[0.043]; Philadelphia[0.043]; Cincinnati[0.043]; City[0.043]; City[0.043]; California[0.043]; California[0.043]; League[0.043]; Pittsburgh[0.042]; Chicago[0.042]; Chicago[0.042]; Chicago[0.042]; 

INCORRECT ANNOTATION	1095testa	Seattle	Milwaukee Brewers	Seattle Mariners
global=0.327	0.325
local(<e, ctx>)=0.344	0.277
log p(e|m)=-4.075	-3.863
Seattle[0.047]; games[0.043]; games[0.043]; Houston[0.043]; Oakland[0.042]; Oakland[0.042]; Baltimore[0.042]; Baltimore[0.042]; Baseball[0.041]; Boston[0.041]; Boston[0.041]; Cleveland[0.041]; Cleveland[0.041]; Milwaukee[0.041]; Milwaukee[0.041]; Philadelphia[0.041]; City[0.041]; City[0.041]; California[0.041]; California[0.041]; League[0.041]; League[0.041]; League[0.041]; played[0.040]; 

INCORRECT ANNOTATION	1012testa	Kansas City	Kansas City metropolitan area	Kansas City, Missouri
global=0.334	0.332
local(<e, ctx>)=-0.052	-0.163
log p(e|m)=-1.448	-0.805
Missouri[0.045]; Missouri[0.045]; Midwest[0.042]; Midwest[0.042]; Midwest[0.042]; bank[0.042]; bank[0.042]; bank[0.042]; franchise[0.042]; state[0.041]; Commerce[0.041]; Commerce[0.041]; Commerce[0.041]; Commerce[0.041]; outside[0.041]; regional[0.041]; Mercantile[0.041]; Mercantile[0.041]; Mercantile[0.041]; Mercantile[0.041]; Mercantile[0.041]; Financial[0.040]; Jones[0.040]; seeking[0.040]; 

INCORRECT ANNOTATION	1058testa	Edgbaston	Edgbaston Cricket Ground	Edgbaston
global=0.363	0.322
local(<e, ctx>)=0.419	-0.078
log p(e|m)=-0.451	-0.309
England[0.045]; England[0.045]; England[0.045]; England[0.045]; England[0.045]; England[0.045]; cricket[0.043]; matches[0.042]; toss[0.042]; second[0.042]; batsman[0.041]; Gough[0.041]; day[0.041]; Hollioake[0.041]; Hollioake[0.041]; Lancashire[0.040]; Cricket[0.040]; Surrey[0.039]; bat[0.039]; Atherton[0.039]; Birmingham[0.039]; won[0.039]; overs[0.039]; lost[0.039]; 

INCORRECT ANNOTATION	1058testa	Birmingham	Edgbaston Cricket Ground	Birmingham
global=0.333	0.332
local(<e, ctx>)=0.302	0.231
log p(e|m)=-4.510	-0.402
England[0.046]; England[0.046]; England[0.046]; England[0.046]; England[0.046]; England[0.046]; cricket[0.044]; second[0.042]; matches[0.042]; batsman[0.042]; Hollioake[0.041]; Edgbaston[0.041]; Lancashire[0.041]; day[0.040]; Cricket[0.040]; debut[0.040]; Surrey[0.040]; Atherton[0.040]; overs[0.039]; lost[0.039]; bat[0.039]; rounder[0.039]; toss[0.039]; international[0.039]; 

INCORRECT ANNOTATION	1071testa	Al Unser	Al Unser	Al Unser, Jr.
global=0.368	0.361
local(<e, ctx>)=0.109	0.106
log p(e|m)=0.000	-1.100
race[0.048]; driver[0.045]; qualifying[0.045]; drivers[0.045]; lap[0.044]; Vasser[0.044]; Andretti[0.042]; Penske[0.042]; Penske[0.042]; IndyCar[0.041]; Rahal[0.041]; Bobby[0.041]; Honda[0.041]; Honda[0.041]; Honda[0.041]; Honda[0.041]; seconds[0.040]; Herta[0.040]; Gil[0.040]; final[0.040]; Jimmy[0.040]; Ford[0.040]; Ford[0.040]; Sunday[0.039]; 

INCORRECT ANNOTATION	1028testa	Palestinian	Palestinian territories	State of Palestine
global=0.327	0.327
local(<e, ctx>)=0.516	0.525
log p(e|m)=-2.146	-2.847
Israel[0.046]; Israel[0.046]; Arabs[0.044]; Israeli[0.044]; Israeli[0.044]; Arab[0.044]; Palestinians[0.042]; Palestinians[0.042]; West[0.042]; West[0.042]; Gaza[0.042]; Jerusalem[0.041]; Jerusalem[0.041]; Jerusalem[0.041]; Jerusalem[0.041]; Jerusalem[0.041]; Jordan[0.041]; Jordan[0.041]; Jewish[0.041]; Bank[0.039]; Bank[0.039]; Abu[0.038]; Arafat[0.038]; peace[0.038]; 

INCORRECT ANNOTATION	1056testa	Birmingham	Edgbaston Cricket Ground	Birmingham
global=0.334	0.333
local(<e, ctx>)=0.305	0.215
log p(e|m)=-4.510	-0.402
England[0.047]; England[0.047]; England[0.047]; England[0.047]; cricket[0.045]; match[0.044]; second[0.043]; Gough[0.043]; Hollioake[0.043]; day[0.041]; Cricket[0.041]; Atherton[0.041]; run[0.040]; run[0.040]; run[0.040]; Saturday[0.040]; innings[0.039]; Croft[0.039]; wickets[0.039]; closed[0.039]; Mushtaq[0.039]; Mushtaq[0.039]; Mushtaq[0.039]; Waqar[0.038]; 

INCORRECT ANNOTATION	1061testa	Trinidad	Trinidad and Tobago	Trinidad
global=0.337	0.333
local(<e, ctx>)=0.234	0.072
log p(e|m)=-2.996	-0.341
Miguel[0.046]; Miguel[0.046]; South[0.045]; Spain[0.044]; Spain[0.044]; Australia[0.043]; Australia[0.043]; Robert[0.043]; Robert[0.043]; Martin[0.041]; won[0.041]; Africa[0.041]; Saturday[0.041]; Stephen[0.041]; British[0.041]; British[0.041]; Jimenez[0.040]; Ireland[0.040]; Ireland[0.040]; Winners[0.040]; Lee[0.039]; Andrew[0.039]; Rocca[0.039]; Mark[0.039]; 

INCORRECT ANNOTATION	1061testa	Ireland	Ireland	Republic of Ireland
global=0.335	0.335
local(<e, ctx>)=0.156	0.253
log p(e|m)=-0.566	-1.505
Ireland[0.053]; Australia[0.045]; Australia[0.045]; British[0.044]; British[0.044]; Italy[0.043]; European[0.042]; won[0.042]; Colin[0.042]; Trinidad[0.041]; Padraig[0.041]; Saturday[0.041]; Ian[0.040]; Martin[0.040]; Lawrie[0.040]; Spain[0.040]; Spain[0.040]; winners[0.040]; Stephen[0.040]; Zimbabwe[0.040]; South[0.039]; Russell[0.039]; London[0.039]; McGinley[0.039]; 

INCORRECT ANNOTATION	991testa	Moscow	Moscow	Russia
global=0.339	0.323
local(<e, ctx>)=0.180	0.139
log p(e|m)=-0.106	-4.269
Russia[0.047]; Russian[0.045]; military[0.045]; war[0.044]; territorial[0.043]; region[0.043]; region[0.043]; fighting[0.043]; troops[0.042]; Federation[0.041]; Chechnya[0.041]; Chechnya[0.041]; Chechnya[0.041]; Chechnya[0.041]; worst[0.041]; ending[0.040]; Tass[0.040]; late[0.040]; office[0.040]; independence[0.040]; Thursday[0.040]; Thursday[0.040]; month[0.040]; December[0.040]; 

INCORRECT ANNOTATION	1083testa	European	UEFA	UEFA Champions League
global=0.328	0.321
local(<e, ctx>)=-0.135	-0.137
log p(e|m)=-3.576	-4.423
soccer[0.053]; match[0.052]; qualifying[0.052]; Cup[0.051]; Cup[0.051]; Soccer[0.051]; group[0.050]; beat[0.049]; Switzerland[0.048]; Switzerland[0.048]; Qualifier[0.047]; World[0.047]; World[0.047]; Azerbaijan[0.047]; Azerbaijan[0.047]; Saturday[0.046]; Baku[0.044]; Scorer[0.043]; Attendance[0.043]; Beat[0.042]; halftime[0.041]; 

INCORRECT ANNOTATION	1075testa	Mauritania	Mauritania	Mauritania national football team
global=0.360	0.321
local(<e, ctx>)=0.200	0.017
log p(e|m)=-0.373	-2.146
Mauritania[0.048]; Mauritania[0.048]; country[0.046]; national[0.045]; team[0.044]; Cup[0.043]; Cup[0.043]; Benin[0.042]; Nations[0.042]; qualifying[0.041]; Nouakchott[0.041]; African[0.041]; soccer[0.040]; qualify[0.040]; eliminated[0.040]; commitments[0.040]; federation[0.040]; federation[0.040]; Africans[0.040]; president[0.040]; championship[0.040]; leg[0.039]; Soccer[0.039]; losing[0.039]; 

INCORRECT ANNOTATION	1075testa	Benin	Benin	Benin national football team
global=0.338	0.324
local(<e, ctx>)=-0.011	0.260
log p(e|m)=-0.420	-2.163
country[0.046]; federation[0.045]; federation[0.045]; national[0.044]; team[0.044]; soccer[0.044]; suspended[0.043]; African[0.042]; Cup[0.042]; Cup[0.042]; season[0.041]; held[0.041]; Soccer[0.041]; National[0.041]; Nations[0.041]; Mauritania[0.040]; Mauritania[0.040]; Mauritania[0.040]; dissolved[0.040]; wake[0.040]; president[0.040]; eliminated[0.039]; Team[0.039]; North[0.039]; 

INCORRECT ANNOTATION	1075testa	Mauritania	Mauritania	Mauritania national football team
global=0.360	0.332
local(<e, ctx>)=0.204	0.178
log p(e|m)=-0.373	-2.146
Mauritania[0.048]; Mauritania[0.048]; country[0.046]; national[0.045]; team[0.044]; Cup[0.043]; Cup[0.043]; Benin[0.042]; Nations[0.042]; qualifying[0.041]; African[0.041]; soccer[0.041]; qualify[0.041]; eliminated[0.040]; Nouakchott[0.040]; federation[0.040]; federation[0.040]; Africans[0.040]; championship[0.040]; leg[0.039]; Soccer[0.039]; Team[0.039]; losing[0.039]; draw[0.039]; 

INCORRECT ANNOTATION	1136testa	Insein	Insein Prison	Insein Township
global=0.352	0.351
local(<e, ctx>)=0.136	0.074
log p(e|m)=-2.198	0.000
Burma[0.054]; Burma[0.054]; Insein[0.052]; Kyi[0.043]; Kyi[0.043]; Kyi[0.043]; instances[0.042]; prisoners[0.041]; torture[0.040]; Suu[0.040]; Suu[0.040]; Suu[0.040]; prison[0.040]; prison[0.040]; Prison[0.040]; abuse[0.039]; Hla[0.039]; came[0.039]; August[0.039]; arrest[0.039]; repression[0.038]; food[0.038]; sleep[0.038]; arrests[0.038]; 

INCORRECT ANNOTATION	1136testa	Insein	Insein Prison	Insein Township
global=0.353	0.352
local(<e, ctx>)=0.231	0.173
log p(e|m)=-2.198	0.000
Burma[0.052]; Burma[0.052]; Insein[0.050]; Insein[0.050]; Rangoon[0.046]; Kyi[0.042]; Kyi[0.042]; Kyi[0.042]; instances[0.041]; prisoners[0.040]; prisoners[0.040]; torture[0.039]; Suu[0.039]; Suu[0.039]; Suu[0.039]; jail[0.039]; prison[0.039]; prison[0.039]; prison[0.039]; Prison[0.039]; held[0.038]; abuse[0.038]; Hla[0.038]; came[0.038]; 

INCORRECT ANNOTATION	1081testa	European	UEFA	UEFA Champions League
global=0.327	0.323
local(<e, ctx>)=-0.166	-0.140
log p(e|m)=-3.576	-4.423
soccer[0.047]; qualifier[0.045]; Cup[0.045]; Cup[0.045]; Soccer[0.045]; group[0.044]; beat[0.043]; Romania[0.042]; Romania[0.042]; Romania[0.042]; Lithuania[0.042]; Lithuania[0.042]; Petrescu[0.042]; Qualifier[0.042]; World[0.042]; World[0.042]; Saturday[0.041]; Bucharest[0.041]; minute[0.041]; Moldovan[0.039]; Viorel[0.037]; Beat[0.037]; Scorers[0.037]; halftime[0.036]; 

INCORRECT ANNOTATION	985testa	European	Europe	European Union
global=0.344	0.331
local(<e, ctx>)=-0.010	0.128
log p(e|m)=-0.256	-2.937
trading[0.046]; trading[0.046]; stock[0.044]; price[0.044]; players[0.043]; September[0.043]; week[0.043]; week[0.043]; Airport[0.042]; ahead[0.041]; likely[0.041]; International[0.041]; placed[0.041]; day[0.041]; gains[0.041]; discount[0.040]; market[0.040]; Stock[0.040]; million[0.040]; million[0.040]; million[0.040]; issued[0.040]; launched[0.040]; pre[0.039]; 

INCORRECT ANNOTATION	1105testa	Roberto Carlos	Roberto Carlos (footballer)	Roberto Abbondanzieri
global=0.347	0.341
local(<e, ctx>)=-0.105	-0.081
log p(e|m)=-0.057	-1.609
Madrid[0.061]; Madrid[0.061]; Soccer[0.060]; Spanish[0.059]; Spanish[0.059]; game[0.058]; Real[0.057]; played[0.057]; Deportivo[0.057]; Coruna[0.056]; Martins[0.055]; Halftime[0.055]; minute[0.055]; Saturday[0.052]; division[0.051]; Division[0.049]; Summary[0.049]; Summary[0.049]; 

INCORRECT ANNOTATION	1050testa	Ireland	Republic of Ireland	Ireland
global=0.337	0.326
local(<e, ctx>)=0.239	0.095
log p(e|m)=-1.505	-0.566
Ireland[0.052]; Irish[0.047]; Irish[0.047]; Sunderland[0.042]; second[0.042]; qualifier[0.042]; Neill[0.041]; Charlton[0.041]; win[0.041]; European[0.041]; draw[0.041]; McCarthy[0.041]; captain[0.041]; Norwich[0.040]; fifth[0.040]; striker[0.040]; Cup[0.040]; Saturday[0.040]; finals[0.040]; Ian[0.040]; beating[0.040]; Niall[0.040]; added[0.039]; held[0.039]; 

INCORRECT ANNOTATION	1050testa	Ireland	Republic of Ireland	Ireland
global=0.337	0.325
local(<e, ctx>)=0.260	0.098
log p(e|m)=-1.505	-0.566
Ireland[0.051]; Ireland[0.051]; Irish[0.046]; Irish[0.046]; Irish[0.046]; Sunderland[0.041]; second[0.041]; qualifier[0.041]; Republic[0.041]; Neill[0.041]; Charlton[0.040]; win[0.040]; European[0.040]; draw[0.040]; McCarthy[0.040]; captain[0.040]; Soccer[0.040]; Norwich[0.040]; fifth[0.040]; striker[0.039]; Cup[0.039]; Saturday[0.039]; finals[0.039]; Ian[0.039]; 

INCORRECT ANNOTATION	1050testa	Irish	Republic of Ireland	Ireland
global=0.333	0.325
local(<e, ctx>)=0.247	0.078
log p(e|m)=-2.254	-1.457
Ireland[0.052]; Ireland[0.052]; Irish[0.049]; Niall[0.043]; Sunderland[0.042]; qualifier[0.042]; Republic[0.041]; Neill[0.041]; second[0.041]; captain[0.041]; Quinn[0.041]; Quinn[0.041]; Cup[0.041]; McCarthy[0.041]; Soccer[0.040]; striker[0.040]; Saturday[0.040]; added[0.039]; Norwich[0.039]; fifth[0.039]; Mick[0.038]; World[0.038]; manager[0.038]; teenager[0.038]; 

INCORRECT ANNOTATION	1050testa	Irish	Republic of Ireland	Ireland
global=0.332	0.318
local(<e, ctx>)=0.247	0.006
log p(e|m)=-2.254	-1.457
Ireland[0.051]; Ireland[0.051]; Ireland[0.051]; Irish[0.048]; Niall[0.042]; Sunderland[0.041]; qualifier[0.041]; European[0.041]; Republic[0.040]; Neill[0.040]; second[0.040]; finals[0.040]; Charlton[0.040]; captain[0.040]; Quinn[0.040]; Quinn[0.040]; draw[0.040]; Cup[0.040]; McCarthy[0.040]; striker[0.039]; win[0.039]; Saturday[0.039]; Jack[0.038]; added[0.038]; 

INCORRECT ANNOTATION	1050testa	Irish	Republic of Ireland	Ireland
global=0.333	0.322
local(<e, ctx>)=0.291	0.085
log p(e|m)=-2.254	-1.457
Ireland[0.050]; Ireland[0.050]; Ireland[0.050]; Irish[0.048]; Irish[0.048]; Niall[0.041]; Sunderland[0.041]; qualifier[0.041]; Republic[0.040]; Neill[0.040]; second[0.040]; Charlton[0.040]; captain[0.040]; Quinn[0.040]; Quinn[0.040]; draw[0.040]; Cup[0.040]; McCarthy[0.039]; Soccer[0.039]; striker[0.039]; win[0.039]; Saturday[0.039]; Jack[0.038]; added[0.038]; 

INCORRECT ANNOTATION	1108testa	European	UEFA	Europe
global=0.326	0.323
local(<e, ctx>)=-0.114	-0.292
log p(e|m)=-3.576	-0.256
